Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets,Close,Volume,Open,High,Low,Day_of_week
2020,2,27,tesla,25,17,28,70,135.8,121385800,146,147.954,133.8,Thursday
2020,2,27,nvidia,2,1,1,4,63.15,90641480,63.725,66.75,62.2225,Thursday
2020,2,27,paypal,0,1,0,1,107.84,15461900,106.3,112.05,106.3,Thursday
2020,2,28,apple,22,12,29,63,68.34,426884800,64.315,69.6025,64.0925,Friday
2020,2,28,microsoft,18,4,23,45,162.01,97073560,152.41,163.71,152,Friday
2020,2,28,tesla,38,17,27,82,133.598,122820850,125.94,138.104,122.304,Friday
2020,2,28,nvidia,2,2,2,6,67.5175,113467520,60.6138,68.115,60.4475,Friday
2020,2,28,paypal,2,0,0,2,107.99,17215990,104.26,108.73,103.72,Friday
2020,2,29,apple,3,1,5,9,70.46083333,398388986.7,66.4,71.52166667,65.87166667,Saturday
2020,2,29,microsoft,3,0,8,11,165.6033333,88392643.33,156.71,166.78,155.4366667,Saturday
2020,2,29,tesla,10,4,12,26,138.64,115538883.3,131.3773333,141.6486667,127.314,Saturday
2020,2,29,nvidia,1,0,1,2,68.0475,105336533.3,63.4842,68.5425,62.04833333,Saturday
2020,3,1,apple,9,8,10,27,72.58166667,369893173.3,68.485,73.44083333,67.65083333,Sunday
2020,3,1,microsoft,3,1,5,9,169.1966667,79711726.67,161.01,169.85,158.8733333,Sunday
2020,3,1,tesla,9,3,11,23,143.682,108256916.7,136.8146667,145.1933333,132.324,Sunday
2020,3,1,nvidia,2,0,2,4,68.5775,97205546.67,66.3546,68.97,63.64916667,Sunday
2020,3,2,apple,25,15,19,59,74.7025,341397360,70.57,75.36,69.43,Monday
2020,3,2,microsoft,6,5,9,20,172.79,71030810,165.31,172.92,162.31,Monday
2020,3,2,tesla,26,4,21,51,148.724,100974950,142.252,148.738,137.334,Monday
2020,3,2,nvidia,2,1,0,3,69.1075,89074560,69.225,69.3975,65.25,Monday
2020,3,3,apple,31,4,18,53,72.33,319475400,75.9175,76,71.45,Tuesday
2020,3,3,microsoft,14,5,5,24,164.51,71677020,173.8,175,162.26,Tuesday
2020,3,3,tesla,41,18,27,86,149.102,128920000,161,161.396,143.2221,Tuesday
2020,3,3,nvidia,3,0,2,5,66.4725,65279320,69.6666,70.2675,65.615,Tuesday
2020,3,3,paypal,2,0,0,2,109.76,11912280,112.82,114.56,108.26,Tuesday
2020,3,4,apple,18,2,12,32,75.685,219178280,74.11,75.85,73.2825,Wednesday
2020,3,4,microsoft,18,1,8,27,170.55,49814380,168.485,170.7,165.62,Wednesday
2020,3,4,tesla,15,6,15,36,149.9,75244900,152.7921,153.304,144.9469,Wednesday
2020,3,4,nvidia,3,0,2,5,71.1275,59740720,67.55,71.2225,66.8,Wednesday
2020,3,4,paypal,0,0,2,2,115.3,8245198,112.04,115.39,110.62,Wednesday
2020,3,5,apple,21,3,17,41,73.23,187572880,73.88,74.8875,72.8525,Thursday
2020,3,5,microsoft,8,7,9,24,166.27,47817250,166.045,170.87,165.69,Thursday
2020,3,5,tesla,24,12,26,62,144.908,54263300,144.754,149.15,143.614,Thursday
2020,3,5,nvidia,3,1,0,4,68.3225,54032760,69.125,70.8,67.875,Thursday
2020,3,5,paypal,0,0,1,1,112.18,7671457,112.03,114.9,111.24,Thursday
2020,3,6,apple,9,5,20,34,72.2575,226177000,70.5,72.705,70.3075,Friday
2020,3,6,microsoft,7,3,8,18,161.57,72821060,162.61,163.11,156,Friday
2020,3,6,tesla,21,6,22,49,140.696,63314600,138.0008,141.4,136.854,Friday
2020,3,6,nvidia,1,0,2,3,66.51,51541240,66.52,67.0975,64.5,Friday
2020,3,6,paypal,0,0,1,1,110.89,8524269,107.95,111.57,107.58,Friday
2020,3,7,apple,4,1,2,7,70.3525,246366280,68.97916667,71.64416667,68.78833333,Saturday
2020,3,7,microsoft,7,1,3,11,157.92,72020463.33,158.74,161.3233333,154,Saturday
2020,3,7,tesla,13,5,12,30,134.3306667,70665966.67,132.3598667,138.4665333,131.5693333,Saturday
2020,3,7,nvidia,1,1,1,3,64.79333333,54832773.33,64.33833333,66.34833333,62.84833333,Saturday
2020,3,8,apple,4,1,6,11,68.4475,266555560,67.45833333,70.58333333,67.26916667,Sunday
2020,3,8,microsoft,2,0,5,7,154.27,71219866.67,154.87,159.5366667,152,Sunday
2020,3,8,tesla,9,2,11,22,127.9653333,78017333.33,126.7189333,135.5330667,126.2846667,Sunday
2020,3,8,nvidia,3,0,2,5,63.07666667,58124306.67,62.15666667,65.59916667,61.19666667,Sunday
2020,3,9,apple,18,10,16,44,66.5425,286744840,65.9375,69.5225,65.75,Monday
2020,3,9,microsoft,3,0,10,13,150.62,70419270,151,157.75,150,Monday
2020,3,9,tesla,34,10,22,66,121.6,85368700,121.078,132.5996,121,Monday
2020,3,9,nvidia,2,1,2,5,61.36,61415840,59.975,64.85,59.545,Monday
2020,3,9,paypal,2,0,0,2,101.63,12458890,102.72,106.99,99.71,Monday
2020,3,10,apple,22,5,19,46,71.335,285290080,69.285,71.61,67.3425,Tuesday
2020,3,10,microsoft,18,1,23,42,160.92,65354390,158.16,161.03,152.58,Tuesday
2020,3,10,tesla,33,7,16,56,129.066,77972200,131.886,133.6,121.6,Tuesday
2020,3,10,nvidia,3,1,5,9,65.27,58064880,64.135,65.27,61.4975,Tuesday
2020,3,10,paypal,1,0,0,1,109.74,11748490,105.3,109.74,103.17,Tuesday
2020,3,11,apple,19,3,15,37,68.8575,256379880,69.3475,70.305,67.965,Wednesday
2020,3,11,microsoft,8,0,6,14,153.63,56504300,157.13,157.7,151.15,Wednesday
2020,3,11,tesla,26,1,23,50,126.846,67067950,128.04,130.716,122.6,Wednesday
2020,3,11,nvidia,0,0,1,1,61.6175,50206760,63.8638,64.15,60.6425,Wednesday
2020,3,11,paypal,2,1,0,3,103.9,10761020,106.65,107.75,101.98,Wednesday
2020,3,12,apple,19,6,21,46,62.0575,418474000,63.985,67.5,62,Thursday
2020,3,12,microsoft,9,5,4,18,139.06,93226370,145.3,153.47,138.58,Thursday
2020,3,12,tesla,24,12,25,61,112.11,94545250,116.178,118.9,109.25,Thursday
2020,3,12,nvidia,0,0,3,3,54.0775,81654160,56.365,59.0298,53.95,Thursday
